1,0
2,6, 92%, 97%, 99%, 100%, 100%, 100%
3,6, 92%, 97%, 99%, 100%, 100%, 100%
4,6, 94%, 96%, 99%, 100%, 100%, 100%
5,6, 95%, 96%, 99%, 100%, 100%, 100%
6,6, 95%, 96%, 99%, 100%, 100%, 100%
7,6, 95%, 96%, 99%, 100%, 100%, 100%
8,6, 95%, 95%, 98%, 100%, 100%, 100%
9,6, 96%, 96%, 98%, 100%, 100%, 100%
10,6, 97%, 98%, 99%, 100%, 100%, 100%
11,6, 94%, 97%, 99%, 100%, 100%, 100%
12,6, 94%, 98%, 99%, 100%, 100%, 100%
13,6, 93%, 98%, 99%, 100%, 100%, 100%
14,6, 96%, 98%, 99%, 100%, 100%, 100%
15,6, 97%, 98%, 99%, 100%, 100%, 100%
16,6, 96%, 98%, 99%, 100%, 100%, 100%
17,6, 96%, 98%, 99%, 100%, 100%, 100%
18,6, 96%, 98%, 99%, 100%, 100%, 100%
19,6, 97%, 98%, 99%, 100%, 100%, 100%
20,6, 95%, 98%, 99%, 100%, 100%, 100%
21,6, 96%, 98%, 99%, 100%, 100%, 100%
22,6, 97%, 98%, 99%, 100%, 100%, 100%
23,6, 97%, 98%, 99%, 100%, 100%, 100%
24,6, 97%, 99%, 99%, 100%, 100%, 100%
25,6, 96%, 99%, 99%, 100%, 100%, 100%
26,6, 94%, 98%, 99%, 100%, 100%, 100%
27,6, 95%, 98%, 99%, 100%, 100%, 100%
28,6, 94%, 99%, 99%, 100%, 100%, 100%
29,6, 94%, 99%, 99%, 100%, 100%, 100%
30,6, 95%, 99%, 99%, 100%, 100%, 100%
31,6, 94%, 99%, 99%, 100%, 100%, 100%
32,6, 93%, 99%, 99%, 100%, 100%, 100%
33,6, 96%, 99%, 99%, 100%, 100%, 100%
34,6, 84%, 99%, 99%, 100%, 100%, 100%
35,6, 94%, 99%, 99%, 100%, 100%, 100%
36,6, 96%, 99%, 99%, 100%, 100%, 100%
37,6, 94%, 98%, 99%, 100%, 100%, 100%
38,6, 93%, 96%, 97%, 100%, 100%, 100%
39,6, 96%, 97%, 99%, 100%, 100%, 100%
40,6, 96%, 97%, 99%, 100%, 100%, 100%
41,6, 95%, 97%, 99%, 100%, 100%, 100%
42,6, 96%, 97%, 99%, 100%, 100%, 100%
43,6, 97%, 97%, 99%, 100%, 100%, 100%
44,6, 97%, 98%, 99%, 100%, 100%, 100%
45,6, 97%, 98%, 99%, 100%, 100%, 100%
46,6, 98%, 98%, 99%, 100%, 100%, 100%
47,6, 97%, 98%, 99%, 100%, 100%, 100%
48,6, 97%, 98%, 99%, 100%, 100%, 100%
49,6, 96%, 98%, 100%, 100%, 100%, 100%
50,6, 96%, 98%, 100%, 100%, 100%, 100%
51,6, 96%, 98%, 100%, 100%, 100%, 100%
52,6, 96%, 98%, 100%, 100%, 100%, 100%
53,6, 96%, 98%, 100%, 100%, 100%, 100%
54,6, 95%, 98%, 100%, 100%, 100%, 100%
55,6, 88%, 98%, 100%, 100%, 100%, 100%
56,6, 94%, 98%, 100%, 100%, 100%, 100%
57,6, 95%, 99%, 100%, 100%, 100%, 100%
58,6, 96%, 99%, 100%, 100%, 100%, 100%
59,6, 97%, 98%, 100%, 100%, 100%, 100%
60,6, 97%, 98%, 100%, 100%, 100%, 100%
61,6, 97%, 97%, 100%, 100%, 100%, 100%
62,6, 97%, 98%, 100%, 100%, 100%, 100%
63,6, 97%, 97%, 100%, 100%, 100%, 100%
64,6, 98%, 98%, 100%, 100%, 100%, 100%
65,6, 97%, 98%, 100%, 100%, 100%, 100%
66,6, 96%, 98%, 100%, 100%, 100%, 100%
67,6, 97%, 98%, 100%, 100%, 100%, 100%
68,6, 97%, 98%, 100%, 100%, 100%, 100%
69,6, 98%, 98%, 100%, 100%, 100%, 100%
70,6, 97%, 98%, 100%, 100%, 100%, 100%
71,6, 98%, 98%, 100%, 100%, 100%, 100%
72,6, 98%, 98%, 100%, 100%, 100%, 100%
73,6, 97%, 99%, 100%, 100%, 100%, 100%
74,6, 98%, 98%, 100%, 100%, 100%, 100%
75,6, 98%, 99%, 100%, 100%, 100%, 100%
76,6, 98%, 99%, 99%, 100%, 100%, 100%
77,6, 98%, 99%, 99%, 100%, 100%, 100%
78,6, 98%, 99%, 99%, 100%, 100%, 100%
79,6, 98%, 99%, 99%, 100%, 100%, 100%
80,6, 97%, 98%, 99%, 100%, 100%, 100%
81,6, 97%, 98%, 99%, 100%, 100%, 100%
82,6, 98%, 98%, 99%, 100%, 100%, 100%
83,6, 97%, 98%, 99%, 100%, 100%, 100%
84,6, 98%, 98%, 99%, 100%, 100%, 100%
85,6, 98%, 98%, 99%, 100%, 100%, 100%
86,6, 97%, 98%, 99%, 100%, 100%, 100%
87,6, 98%, 99%, 99%, 100%, 100%, 100%
88,6, 98%, 99%, 99%, 100%, 100%, 100%
89,6, 97%, 98%, 99%, 100%, 100%, 100%
90,6, 96%, 98%, 99%, 100%, 100%, 100%
91,6, 97%, 98%, 100%, 100%, 100%, 100%
92,6, 98%, 99%, 100%, 100%, 100%, 100%
93,6, 98%, 99%, 100%, 100%, 100%, 100%
94,6, 98%, 99%, 100%, 100%, 100%, 100%
95,6, 97%, 99%, 100%, 100%, 100%, 100%
96,6, 97%, 99%, 99%, 100%, 100%, 100%
97,6, 96%, 99%, 99%, 100%, 100%, 100%
98,6, 97%, 99%, 99%, 100%, 100%, 100%
99,6, 96%, 99%, 100%, 100%, 100%, 100%
100,6, 97%, 99%, 100%, 100%, 100%, 100%
101,6, 97%, 99%, 100%, 100%, 100%, 100%
102,6, 97%, 99%, 100%, 100%, 100%, 100%
103,6, 97%, 99%, 99%, 100%, 100%, 100%
104,6, 98%, 99%, 99%, 100%, 100%, 100%
105,6, 98%, 99%, 99%, 100%, 100%, 100%
106,6, 98%, 99%, 100%, 100%, 100%, 100%
107,6, 98%, 99%, 99%, 100%, 100%, 100%
108,6, 98%, 100%, 100%, 100%, 100%, 100%
109,6, 97%, 100%, 100%, 100%, 100%, 100%
110,6, 97%, 100%, 100%, 100%, 100%, 100%
111,6, 97%, 100%, 100%, 100%, 100%, 100%
112,6, 98%, 100%, 100%, 100%, 100%, 100%
113,6, 98%, 100%, 100%, 100%, 100%, 100%
114,6, 98%, 100%, 100%, 100%, 100%, 100%
115,6, 98%, 100%, 100%, 100%, 100%, 100%
116,6, 98%, 100%, 100%, 100%, 100%, 100%
117,6, 99%, 100%, 100%, 100%, 100%, 100%
